task,percent_correct,avg_rt,combined,when,date_downloaded
3-back,40,962.18 ms,"2,405.45",16 hours ago,"12:15 PM, Sunday"
3-back,46.67,880.35 ms,"1,886.46",16 hours ago,"12:15 PM, Sunday"
3-back,86.67,894.30 ms,"1,031.88",16 hours ago,"12:15 PM, Sunday"
3-back,60,"1,069.83 ms","1,783.04",16 hours ago,"12:15 PM, Sunday"
3-back,26.67,"1,258.98 ms","4,721.18",16 hours ago,"12:15 PM, Sunday"
3-back,57.14,826.10 ms,"1,445.68",18 hours ago,"12:15 PM, Sunday"
3-back,66.67,"1,053.48 ms","1,580.21",21 hours ago,"12:15 PM, Sunday"
3-back,29.41,"1,016.41 ms","3,455.81",21 hours ago,"12:15 PM, Sunday"
3-back,46.67,957.33 ms,"2,051.41",1 day ago,"12:15 PM, Sunday"
3-back,60,935.49 ms,"1,559.16",1 day ago,"12:15 PM, Sunday"
3-back,46.67,818.01 ms,"1,752.88",1 day ago,"12:15 PM, Sunday"
3-back,86.67,889.22 ms,"1,026.02",2 days ago,"12:15 PM, Sunday"
3-back,50,748.87 ms,"1,497.73",2 days ago,"12:15 PM, Sunday"
3-back,60,732.07 ms,"1,220.12",2 days ago,"12:15 PM, Sunday"
3-back,40,"1,128.54 ms","2,821.34",2 days ago,"12:15 PM, Sunday"
3-back,40,648.86 ms,"1,622.15",2 days ago,"12:15 PM, Sunday"
3-back,55.56,"1,079.19 ms","1,942.54",2 days ago,"12:15 PM, Sunday"
3-back,40,892.28 ms,"2,230.69",3 days ago,"12:15 PM, Sunday"
3-back,60,697.36 ms,"1,162.27",3 days ago,"12:15 PM, Sunday"
3-back,40,889.44 ms,"2,223.60",3 days ago,"12:15 PM, Sunday"
3-back,42.86,952.07 ms,"2,221.50",3 days ago,"12:15 PM, Sunday"
3-back,53.33,902.20 ms,"1,691.63",3 days ago,"12:15 PM, Sunday"
3-back,53.33,782.81 ms,"1,467.77",3 days ago,"12:15 PM, Sunday"
3-back,50,933.58 ms,"1,867.16",3 days ago,"12:15 PM, Sunday"
3-back,33.33,"1,177.82 ms","3,533.46",3 days ago,"12:15 PM, Sunday"
2-back,86.67,625.64 ms,721.89,16 hours ago,"12:15 PM, Sunday"
2-back,93.33,629.59 ms,674.56,16 hours ago,"12:15 PM, Sunday"
2-back,93.75,932.92 ms,995.11,16 hours ago,"12:15 PM, Sunday"
2-back,60,"1,016.10 ms","1,693.50",16 hours ago,"12:15 PM, Sunday"
2-back,66.67,"1,092.92 ms","1,639.38",16 hours ago,"12:15 PM, Sunday"
2-back,86.67,841.01 ms,970.4,17 hours ago,"12:15 PM, Sunday"
2-back,33.33,958.81 ms,"2,876.43",17 hours ago,"12:15 PM, Sunday"
2-back,60,986.63 ms,"1,644.38",17 hours ago,"12:15 PM, Sunday"
2-back,62.5,"1,023.82 ms","1,638.11",18 hours ago,"12:15 PM, Sunday"
2-back,56.25,422.45 ms,751.03,18 hours ago,"12:15 PM, Sunday"
2-back,100,830.65 ms,830.65,18 hours ago,"12:15 PM, Sunday"
2-back,73.33,"1,039.72 ms","1,417.80",18 hours ago,"12:15 PM, Sunday"
2-back,86.67,672.81 ms,776.32,18 hours ago,"12:15 PM, Sunday"
2-back,100,806.95 ms,806.95,21 hours ago,"12:15 PM, Sunday"
2-back,86.67,760.30 ms,877.27,1 day ago,"12:15 PM, Sunday"
2-back,100,666.11 ms,666.11,2 days ago,"12:15 PM, Sunday"
2-back,93.33,690.57 ms,739.89,2 days ago,"12:15 PM, Sunday"
2-back,100,655.76 ms,655.76,2 days ago,"12:15 PM, Sunday"
2-back,64.29,802.29 ms,"1,248.01",2 days ago,"12:15 PM, Sunday"
2-back,62.5,"3,079.69 ms","4,927.51",2 days ago,"12:15 PM, Sunday"
2-back,66.67,588.95 ms,883.43,2 days ago,"12:15 PM, Sunday"
2-back,86.67,956.20 ms,"1,103.30",2 days ago,"12:15 PM, Sunday"
2-back,93.33,558.53 ms,598.42,2 days ago,"12:15 PM, Sunday"
2-back,81.25,718.96 ms,884.87,2 days ago,"12:15 PM, Sunday"
2-back,46.67,883.66 ms,"1,893.56",2 days ago,"12:15 PM, Sunday"
4-back,33.33,734.19 ms,"2,202.57",2 days ago,"12:15 PM, Sunday"
4-back,60,791.75 ms,"1,319.59",3 days ago,"12:15 PM, Sunday"
4-back,66.67,724.12 ms,"1,086.18",3 days ago,"12:15 PM, Sunday"
4-back,57.14,875.03 ms,"1,531.30",3 days ago,"12:15 PM, Sunday"
