,fruit,fruit,fruit,sport,sport,sport,bird,bird,bird,vehicle,vehicle,vehicle,crime,crime,crime,vegetable,vegetable,vegetable
Timestamp,apple,fig,strawberry,football,hockey,wrestling,ostrich,wren,robin,boat,tricycle,car,embezzling,murder,vagrancy,parsley,carrot,onion
4/26/2016 11:47:38,1,4,2,1,1,5,5,2,1,3,5,1,4,2,6,6,2,3
4/28/2016 11:04:07,2,6,2,1,2,2,2,5,3,2,2,2,2,1,2,3,1,1
4/28/2016 11:05:41,1,3,1,1,1,2,2,1,1,2,3,1,2,1,5,1,1,2
4/28/2016 11:06:22,1,1,1,1,1,1,3,1,1,1,3,1,1,1,7,7,1,1
4/28/2016 11:24:28,1,2,1,2,2,2,1,2,1,1,2,1,2,1,2,4,1,3
4/28/2016 11:36:44,1,2,1,1,1,2,1,3,1,1,3,1,1,1,3,3,1,1
4/28/2016 11:41:38,1,1,1,1,1,1,4,1,1,4,4,1,3,1,6,7,1,1
4/28/2016 12:05:43,1,4,1,1,3,4,3,5,1,2,5,1,2,1,5,3,1,1
4/28/2016 12:13:57,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
4/28/2016 13:07:44,1,1,1,1,1,1,1,1,1,2,3,1,2,1,3,4,1,3
4/28/2016 13:28:41,1,3,1,1,1,2,2,3,1,2,3,1,2,1,3,3,1,2
4/28/2016 13:30:24,2,6,1,2,3,5,4,2,2,2,4,1,1,1,3,4,1,5
4/28/2016 13:33:48,1,3,1,1,1,3,3,2,1,2,5,1,2,1,7,3,1,2
4/28/2016 14:01:59,1,1,1,1,1,1,1,1,1,1,4,1,1,1,7,1,1,1
4/28/2016 14:04:22,1,5,1,1,2,4,2,3,1,2,5,1,2,1,7,1,1,1
4/28/2016 14:09:14,1,3,1,1,3,3,4,3,1,2,4,1,2,1,5,1,1,1
4/28/2016 14:09:39,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2
4/28/2016 14:48:21,1,2,1,1,1,1,2,1,1,2,3,1,1,1,4,2,1,1
4/28/2016 15:10:44,1,6,1,1,2,5,6,4,2,2,6,1,4,2,4,4,1,1
4/28/2016 16:47:54,1,3,1,2,3,4,1,5,1,3,7,1,3,1,6,5,1,3
4/28/2016 19:08:02,1,3,1,1,1,1,4,1,2,3,4,1,3,1,5,6,1,3
4/28/2016 19:51:10,1,2,1,1,1,1,4,3,1,6,6,1,2,1,4,6,3,3
4/28/2016 22:18:41,1,3,1,1,1,2,4,1,1,3,5,1,2,1,3,5,1,4
4/28/2016 22:54:35,1,5,1,1,3,5,4,6,1,3,7,1,3,1,7,4,1,2
4/28/2016 22:54:43,1,5,1,1,2,3,5,2,1,3,6,1,3,1,5,4,2,3
4/28/2016 23:10:52,1,3,1,1,1,1,3,1,1,1,2,1,1,1,7,4,1,1
4/29/2016 0:20:29,1,2,1,1,1,1,1,1,1,2,3,1,1,1,6,2,1,1
4/29/2016 0:31:07,2,1,2,1,3,4,3,3,2,5,4,1,3,1,1,6,2,4
4/29/2016 2:24:56,3,6,1,1,4,6,4,5,2,3,5,1,4,1,6,6,1,6
4/29/2016 9:25:08,1,3,1,1,3,3,3,3,3,2,2,1,1,1,3,2,1,1
4/29/2016 9:27:10,1,2,2,1,1,2,1,1,1,1,3,1,1,1,3,3,1,3
4/29/2016 10:05:14,1,3,1,1,1,2,1,1,1,1,3,1,2,1,3,4,1,3
4/29/2016 10:24:35,1,5,1,1,3,5,2,3,2,1,5,1,2,1,5,5,1,1
4/29/2016 11:15:35,1,4,1,2,3,5,1,3,1,3,2,1,1,1,1,1,3,3
4/29/2016 13:56:24,2,5,1,1,2,4,5,3,1,3,6,1,3,1,5,3,1,4
4/29/2016 16:10:38,1,3,1,1,1,1,2,4,1,3,6,1,3,1,3,1,1,1
4/29/2016 17:42:45,1,5,2,1,4,4,5,3,2,3,6,1,5,1,3,5,3,3
