pct_correct,time_normal,time_interfere,when
100,603.61 ms,873.47 ms,22 minutes ago
100,842.58 ms,"1,286.07 ms",1 hour ago
100,673.37 ms,"1,100.48 ms",2 hours ago
100,"1,089.52 ms","1,210.64 ms",2 hours ago
100,"1,004.44 ms","1,149.34 ms",9 hours ago
98.55,847.59 ms,"1,051.89 ms",9 hours ago
85,"1,140.21 ms","1,251.93 ms",9 hours ago
100,"1,022.39 ms","1,372.06 ms",10 hours ago
95.65,"1,115.47 ms","1,226.41 ms",10 hours ago
96.55,974.27 ms,"1,218.75 ms",10 hours ago
100,"1,176.99 ms","1,201.78 ms",10 hours ago
85.38,891.12 ms,"1,169.08 ms",11 hours ago
98.59,855.97 ms,"1,067.16 ms",11 hours ago
97.56,975.17 ms,"1,050.85 ms",11 hours ago
96.77,"1,136.02 ms","3,689.21 ms",11 hours ago
95.24,"1,060.34 ms","1,138.56 ms",11 hours ago
90.91,961.00 ms,"1,011.78 ms",13 hours ago
100,768.45 ms,990.47 ms,13 hours ago
95.24,"1,376.50 ms","1,112.78 ms",13 hours ago
95.24,847.63 ms,936.96 ms,14 hours ago
97.62,755.00 ms,996.50 ms,14 hours ago
95,"1,068.64 ms","1,211.64 ms",14 hours ago
96.97,"1,061.25 ms","1,939.03 ms",14 hours ago
100,850.24 ms,911.24 ms,15 hours ago
98.84,871.69 ms,"1,176.22 ms",16 hours ago
95.24,822.52 ms,"1,037.58 ms",16 hours ago
100,930.04 ms,"1,205.65 ms",16 hours ago
95.83,"1,041.44 ms","1,564.86 ms",16 hours ago
87.76,960.77 ms,929.72 ms,18 hours ago
98.08,866.45 ms,"1,101.62 ms",10 minutes ago
100,"2,680.03 ms","3,798.08 ms",6 hours ago
95.24,666.75 ms,787.77 ms,7 hours ago
95.45,857.32 ms,"1,084.60 ms",7 hours ago
97.44,"1,167.80 ms","1,248.33 ms",8 hours ago
100,831.49 ms,"1,147.57 ms",8 hours ago
97.73,742.16 ms,"1,078.02 ms",8 hours ago
100,"1,003.01 ms","1,414.83 ms",8 hours ago
90,805.68 ms,"1,217.60 ms",8 hours ago
100,971.78 ms,"1,130.70 ms",8 hours ago
96.67,869.43 ms,"1,292.60 ms",8 hours ago
98.28,"1,897.75 ms","1,423.96 ms",9 hours ago
100,801.95 ms,949.99 ms,9 hours ago
100,"1,176.46 ms","1,325.45 ms",9 hours ago
100,734.22 ms,877.28 ms,10 hours ago
95,718.80 ms,"1,076.45 ms",10 hours ago
100,941.14 ms,"1,644.00 ms",10 hours ago
96.85,868.54 ms,"1,070.04 ms",10 hours ago
100,660.44 ms,861.70 ms,10 hours ago
95,970.78 ms,945.08 ms,10 hours ago
86.36,692.09 ms,871.48 ms,10 hours ago
97.92,818.09 ms,"1,256.24 ms",10 hours ago
96.43,"1,111.47 ms","1,167.69 ms",11 hours ago
100,759.98 ms,"1,095.29 ms",11 hours ago
100,980.95 ms,"1,214.95 ms",11 hours ago
