percent_corr,time_normal,time_interfere,when,download
100,720.77 ms,"1,059.39 ms",12 minutes ago,"Thurs, 1:42 PM"
100,669.19 ms,763.22 ms,47 minutes ago,"Thurs, 1:42 PM"
100,979.30 ms,"1,074.80 ms",1 hour ago,"Thurs, 1:42 PM"
90.91,860.58 ms,"1,050.47 ms",1 hour ago,"Thurs, 1:42 PM"
95.65,"1,133.63 ms","1,526.02 ms",1 hour ago,"Thurs, 1:42 PM"
93.1,661.50 ms,"1,049.91 ms",2 hours ago,"Thurs, 1:42 PM"
100,801.09 ms,925.41 ms,2 hours ago,"Thurs, 1:42 PM"
90,"1,174.99 ms","1,071.25 ms",2 hours ago,"Thurs, 1:42 PM"
97.43,809.73 ms,"1,028.84 ms",2 hours ago,"Thurs, 1:42 PM"
93.33,858.51 ms,"1,314.46 ms",4 days ago,"Thurs, 1:42 PM"
100,783.75 ms,"1,015.75 ms",2 hours ago,"Thurs, 6:54 PM"
95.24,886.73 ms,"1,312.49 ms",2 hours ago,"Thurs, 6:54 PM"
100,880.98 ms,"1,077.48 ms",2 hours ago,"Thurs, 6:54 PM"
91.67,"1,861.23 ms","8,854.20 ms",2 hours ago,"Thurs, 6:54 PM"
94,681.78 ms,817.77 ms,8 hours ago,"Fri, 8:50 AM"
96.43,724.55 ms,"1,057.52 ms",8 hours ago,"Fri, 8:50 AM"
97.65,867.52 ms,"1,028.14 ms",10 hours ago,"Fri, 8:50 AM"
100,723.40 ms,824.22 ms,10 hours ago,"Fri, 8:50 AM"
100,859.92 ms,964.54 ms,10 hours ago,"Fri, 8:50 AM"
100,963.29 ms,"1,394.15 ms",10 hours ago,"Fri, 8:50 AM"
96.67,"1,361.25 ms","1,299.93 ms",10 hours ago,"Fri, 8:50 AM"
100,775.02 ms,991.86 ms,11 hours ago,"Fri, 8:50 AM"
95,994.92 ms,"1,203.46 ms",11 hours ago,"Fri, 8:50 AM"
84.75,759.54 ms,992.15 ms,12 hours ago,"Fri, 8:50 AM"
100,759.49 ms,958.05 ms,12 hours ago,"Fri, 8:50 AM"
95.65,641.15 ms,965.27 ms,12 hours ago,"Fri, 8:50 AM"
100,839.31 ms,"1,355.44 ms",12 hours ago,"Fri, 8:50 AM"
97.27,646.61 ms,859.63 ms,10 minutes ago,"Sat, 10:36 AM"
100,898.56 ms,"1,177.85 ms",12 hours ago,"Sat, 10:36 AM"
90,"1,010.17 ms","1,258.76 ms",12 hours ago,"Sat, 10:36 AM"
100,"1,217.04 ms","1,255.38 ms",16 hours ago,"Sat, 10:36 AM"
100,"1,853.24 ms","1,447.58 ms",16 hours ago,"Sat, 10:36 AM"
97.09,799.71 ms,958.62 ms,1 day ago,"Sat, 10:36 AM"
88.89,977.09 ms,"1,428.84 ms",3 hours ago,"Sun, 12:17 PM"
86.67,"1,085.85 ms","1,372.64 ms",3 hours ago,"Sun, 12:17 PM"
100,"1,085.01 ms","1,719.52 ms",9 hours ago,"Sun, 12:17 PM"
100,881.46 ms,"1,071.40 ms",14 hours ago,"Sun, 12:17 PM"
90,818.94 ms,"1,052.62 ms",14 hours ago,"Sun, 12:17 PM"
91.49,"1,514.88 ms","1,787.20 ms",14 hours ago,"Sun, 12:17 PM"
100,"1,310.56 ms","1,271.42 ms",16 hours ago,"Sun, 12:17 PM"
98.85,823.92 ms,"1,005.17 ms",19 hours ago,"Sun, 12:17 PM"
100,716.81 ms,"1,066.44 ms",21 hours ago,"Sun, 12:17 PM"
100,742.56 ms,"1,080.69 ms",22 hours ago,"Sun, 12:17 PM"
100,779.85 ms,960.30 ms,22 hours ago,"Sun, 12:17 PM"
95.45,"1,205.03 ms","1,096.80 ms",22 hours ago,"Sun, 12:17 PM"
100,982.68 ms,"1,271.86 ms",22 hours ago,"Sun, 12:17 PM"
92.98,830.34 ms,"1,200.88 ms",23 hours ago,"Sun, 12:17 PM"
95.24,622.30 ms,"1,013.61 ms",24 hours ago,"Sun, 12:17 PM"
95,785.90 ms,962.24 ms,24 hours ago,"Sun, 12:17 PM"
90.63,807.13 ms,"1,040.21 ms",8 minutes ago,"Sun, 2:59 PM"
97.37,887.95 ms,"1,081.54 ms",19 minutes ago,"Sun, 2:59 PM"
93.94,"1,115.45 ms","1,421.40 ms",34 minutes ago,"Sun, 2:59 PM"
100,"1,382.50 ms","1,679.15 ms",47 minutes ago,"Sun, 2:59 PM"
100,672.47 ms,687.41 ms,2 hours ago,"Sun, 2:59 PM"
100,739.12 ms,880.16 ms,2 hours ago,"Sun, 2:59 PM"
100,796.87 ms,"1,133.83 ms",2 hours ago,"Sun, 2:59 PM"
100,931.19 ms,986.31 ms,3 hours ago,"Sun, 2:59 PM"
100,"1,023.16 ms","1,182.57 ms",17 minutes ago,"Sun, 5:06 PM"
90.48,"1,401.56 ms","1,585.67 ms",18 minutes ago,"Sun, 5:06 PM"
100,853.17 ms,"1,265.06 ms",55 minutes ago,"Sun, 5:06 PM"
92.11,567.51 ms,879.63 ms,1 hour ago,"Sun, 5:06 PM"
100,767.02 ms,845.63 ms,1 hour ago,"Sun, 5:06 PM"
95.24,883.20 ms,"1,080.94 ms",1 hour ago,"Sun, 5:06 PM"
91.67,922.11 ms,"1,306.13 ms",1 hour ago,"Sun, 5:06 PM"
100,894.95 ms,"1,215.40 ms",2 hours ago,"Sun, 5:06 PM"
90.91,"1,084.48 ms","1,619.73 ms",2 hours ago,"Sun, 5:06 PM"
97.12,764.21 ms,"1,050.10 ms",7 hours ago,"Mon, 8:11 AM"
98.15,885.18 ms,"1,016.89 ms",8 hours ago,"Mon, 8:11 AM"
100,"1,253.80 ms","1,320.34 ms",9 hours ago,"Mon, 8:11 AM"
90.48,793.56 ms,"1,008.08 ms",9 hours ago,"Mon, 8:11 AM"
96.3,946.81 ms,"1,072.22 ms",9 hours ago,"Mon, 8:11 AM"
