task,percent_correct,avg_rt,combined,when,date_downloaded
2-back,73.33,651.12 ms,887.88,14 hours ago,4/8/2017 9:52 AM
2-back,66.67,640.53 ms,960.80,14 hours ago,4/8/2017 9:52 AM
2-back,40,787.44 ms,"1,968.61",14 hours ago,4/8/2017 9:52 AM
2-back,80,848.13 ms,"1,060.16",17 hours ago,4/8/2017 9:52 AM
2-back,86.67,809.40 ms,933.92,17 hours ago,4/8/2017 9:52 AM
2-back,100,709.15 ms,709.15,23 hours ago,4/8/2017 9:52 AM
2-back,93.33,828.38 ms,887.55,1 day ago,4/8/2017 9:52 AM
2-back,80,834.71 ms,"1,043.39",2 days ago,4/8/2017 9:52 AM
2-back,86.67,"1,063.53 ms","1,227.15",2 days ago,4/8/2017 9:52 AM
2-back,40,"1,327.13 ms","3,317.84",2 days ago,4/8/2017 9:52 AM
2-back,80,584.05 ms,730.06,2 days ago,4/8/2017 9:52 AM
2-back,86.67,731.20 ms,843.69,2 days ago,4/8/2017 9:52 AM
2-back,40,"1,086.93 ms","2,717.33",2 days ago,4/8/2017 9:52 AM
2-back,93.33,979.73 ms,"1,049.71",2 days ago,4/8/2017 9:52 AM
2-back,100,465.03 ms,465.03,2 days ago,4/8/2017 9:52 AM
2-back,93.33,666.94 ms,714.58,2 days ago,4/8/2017 9:52 AM
2-back,81.25,832.47 ms,"1,024.58",2 days ago,4/8/2017 9:52 AM
2-back,100,692.73 ms,692.73,2 days ago,4/8/2017 9:52 AM
2-back,73.33,653.32 ms,890.90,2 days ago,4/8/2017 9:52 AM
2-back,73.33,720.75 ms,982.84,2 days ago,4/8/2017 9:52 AM
2-back,57.14,"1,090.57 ms","1,908.49",2 days ago,4/8/2017 9:52 AM
2-back,100,779.10 ms,779.1,2 days ago,4/8/2017 9:52 AM
2-back,93.33,781.85 ms,837.70,2 days ago,4/8/2017 9:52 AM
2-back,66.67,801.30 ms,"1,201.95",2 days ago,4/8/2017 9:52 AM
2-back,66.67,900.41 ms,"1,350.62",2 days ago,4/8/2017 9:52 AM
3-back,73.33,843.37 ms,"1,150.05",14 hours ago,4/8/2017 9:52 AM
3-back,40,"1,007.33 ms","2,518.33",17 hours ago,4/8/2017 9:52 AM
3-back,40,955.60 ms,"2,388.99",23 hours ago,4/8/2017 9:52 AM
3-back,60,"1,146.26 ms","1,910.44",1 day ago,4/8/2017 9:52 AM
3-back,46.67,926.01 ms,"1,984.32",2 days ago,4/8/2017 9:52 AM
3-back,33.33,"1,120.38 ms","3,361.13",2 days ago,4/8/2017 9:52 AM
3-back,25,"1,211.86 ms","4,847.46",2 days ago,4/8/2017 9:52 AM
3-back,53.33,951.32 ms,"1,783.73",2 days ago,4/8/2017 9:52 AM
3-back,46.67,"1,005.42 ms","2,154.48",2 days ago,4/8/2017 9:52 AM
3-back,36.36,841.67 ms,"2,314.58",2 days ago,4/8/2017 9:52 AM
3-back,53.33,936.15 ms,"1,755.29",2 days ago,4/8/2017 9:52 AM
3-back,31.25,201.28 ms,644.09,2 days ago,4/8/2017 9:52 AM
3-back,40,"1,115.75 ms","2,789.36",2 days ago,4/8/2017 9:52 AM
3-back,66.67,798.41 ms,"1,197.61",2 days ago,4/8/2017 9:52 AM
3-back,14.29,"1,199.13 ms","8,393.90",2 days ago,4/8/2017 9:52 AM
4-back,42.86,"1,016.74 ms","2,372.39",2 days ago,4/8/2017 9:52 AM
