Time,fruit,fruit,fruit,sport,sport,sport,bird,bird,bird,vehicle,vehicle,vehicle,crime,crime,crime,vegetable,vegetable,vegetable
Stamp,apple,fig,strawberry,football,hockey,wrestling,ostrich,wren,robin,boat,tricycle,car,embezzling,murder,vagrancy,parsley,carrot,onion
4/26/16 11:47,1,4,2,1,1,5,5,2,1,3,5,1,4,2,6,6,2,3
4/28/16 11:04,2,6,2,1,2,2,2,5,3,2,2,2,2,1,2,3,1,1
4/28/16 11:05,1,3,1,1,1,2,2,1,1,2,3,1,2,1,5,1,1,2
4/28/16 11:06,1,1,1,1,1,1,3,1,1,1,3,1,1,1,7,7,1,1
4/28/16 11:24,1,2,1,2,2,2,1,2,1,1,2,1,2,1,2,4,1,3
4/28/16 11:36,1,2,1,1,1,2,1,3,1,1,3,1,1,1,3,3,1,1
4/28/16 11:41,1,1,1,1,1,1,4,1,1,4,4,1,3,1,6,7,1,1
4/28/16 12:05,1,4,1,1,3,4,3,5,1,2,5,1,2,1,5,3,1,1
4/28/16 12:13,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
4/28/16 13:07,1,1,1,1,1,1,1,1,1,2,3,1,2,1,3,4,1,3
4/28/16 13:28,1,3,1,1,1,2,2,3,1,2,3,1,2,1,3,3,1,2
4/28/16 13:30,2,6,1,2,3,5,4,2,2,2,4,1,1,1,3,4,1,5
4/28/16 13:33,1,3,1,1,1,3,3,2,1,2,5,1,2,1,7,3,1,2
4/28/16 14:01,1,1,1,1,1,1,1,1,1,1,4,1,1,1,7,1,1,1
4/28/16 14:04,1,5,1,1,2,4,2,3,1,2,5,1,2,1,7,1,1,1
4/28/16 14:09,1,3,1,1,3,3,4,3,1,2,4,1,2,1,5,1,1,1
4/28/16 14:09,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2
4/28/16 14:48,1,2,1,1,1,1,2,1,1,2,3,1,1,1,4,2,1,1
4/28/16 15:10,1,6,1,1,2,5,6,4,2,2,6,1,4,2,4,4,1,1
4/28/16 16:47,1,3,1,2,3,4,1,5,1,3,7,1,3,1,6,5,1,3
4/28/16 19:08,1,3,1,1,1,1,4,1,2,3,4,1,3,1,5,6,1,3
4/28/16 19:51,1,2,1,1,1,1,4,3,1,6,6,1,2,1,4,6,3,3
4/28/16 22:18,1,3,1,1,1,2,4,1,1,3,5,1,2,1,3,5,1,4
4/28/16 22:54,1,5,1,1,3,5,4,6,1,3,7,1,3,1,7,4,1,2
4/28/16 22:54,1,5,1,1,2,3,5,2,1,3,6,1,3,1,5,4,2,3
4/28/16 23:10,1,3,1,1,1,1,3,1,1,1,2,1,1,1,7,4,1,1
4/29/16 0:20,1,2,1,1,1,1,1,1,1,2,3,1,1,1,6,2,1,1
4/29/16 0:31,2,1,2,1,3,4,3,3,2,5,4,1,3,1,1,6,2,4
4/29/16 2:24,3,6,1,1,4,6,4,5,2,3,5,1,4,1,6,6,1,6
4/29/16 9:25,1,3,1,1,3,3,3,3,3,2,2,1,1,1,3,2,1,1
4/29/16 9:27,1,2,2,1,1,2,1,1,1,1,3,1,1,1,3,3,1,3
4/29/16 10:05,1,3,1,1,1,2,1,1,1,1,3,1,2,1,3,4,1,3
4/29/16 10:24,1,5,1,1,3,5,2,3,2,1,5,1,2,1,5,5,1,1
4/29/16 11:15,1,4,1,2,3,5,1,3,1,3,2,1,1,1,1,1,3,3
4/29/16 13:56,2,5,1,1,2,4,5,3,1,3,6,1,3,1,5,3,1,4
4/29/16 16:10,1,3,1,1,1,1,2,4,1,3,6,1,3,1,3,1,1,1
4/29/16 17:42,1,5,2,1,4,4,5,3,2,3,6,1,5,1,3,5,3,3
4/29/16 17:45,1,5,1,1,3,5,6,5,1,2,3,1,3,1,3,4,1,1
4/29/16 23:05,1,3,1,1,1,1,1,1,1,1,1,1,3,1,3,1,1,4
4/30/16 8:36,6,3,5,6,4,2,4,6,5,5,3,7,5,7,2,6,6,6
4/30/16 8:57,1,6,3,1,4,6,3,6,1,3,6,1,4,1,7,6,1,4
4/30/16 12:32,1,5,1,1,2,3,5,4,2,3,6,1,4,1,5,4,1,3
4/30/16 12:59,1,6,2,2,4,4,3,5,2,2,3,1,4,1,5,5,1,2
4/30/16 13:28,1,3,2,1,1,1,2,3,2,2,3,1,1,1,4,2,1,1
4/30/16 13:43,1,1,1,1,1,3,1,5,1,1,1,1,3,1,3,3,1,3
4/30/16 14:45,1,3,1,1,1,2,4,4,1,5,6,1,3,1,5,5,1,3
4/30/16 15:07,1,4,1,2,2,3,6,3,1,3,3,1,2,1,6,5,1,1
4/30/16 15:08,1,3,1,1,1,2,3,2,1,1,2,1,1,1,2,2,1,1
4/30/16 17:44,1,1,1,1,1,1,1,1,1,2,3,1,4,4,4,1,1,1
4/30/16 17:44,1,4,3,1,2,3,4,1,1,2,4,1,2,1,6,5,1,1
4/30/16 20:51,1,2,1,1,1,3,3,1,1,3,4,1,4,1,3,4,1,2
4/30/16 21:08,1,6,2,1,1,1,5,6,1,6,7,1,1,1,5,6,3,6
5/1/16 10:31,2,3,2,1,2,3,4,3,1,3,3,1,1,1,2,3,1,1
5/1/16 11:43,1,5,1,1,1,6,6,1,1,1,1,1,1,1,5,6,1,1
5/1/16 12:58,1,3,1,1,1,2,1,1,1,1,4,1,1,1,5,1,1,1
5/1/16 13:24,1,2,1,1,2,4,5,6,1,2,5,1,1,1,1,5,1,1
5/1/16 15:09,1,2,2,1,1,2,3,2,1,1,3,1,1,1,3,1,7,3
5/1/16 15:19,1,5,2,1,5,6,7,7,1,3,4,1,4,1,6,7,1,4
5/1/16 15:56,1,2,1,1,1,1,3,1,1,1,1,1,2,1,3,2,1,2
5/1/16 17:08,1,3,1,1,1,2,1,5,1,1,5,1,1,1,4,3,1,2
5/1/16 17:17,1,4,2,1,4,5,3,4,1,3,6,1,2,1,6,5,1,4
5/1/16 22:05,1,5,2,2,4,6,3,5,4,3,5,1,4,1,5,4,1,3
5/1/16 23:15,1,4,1,1,2,3,4,2,2,2,4,1,3,1,7,1,1,1
5/1/16 23:34,1,3,1,1,1,1,1,3,1,1,3,1,3,1,3,4,1,2
5/2/16 0:33,1,6,1,1,2,3,3,5,1,3,5,1,6,1,7,3,1,2
5/2/16 1:34,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5/2/16 13:23,1,3,1,1,5,5,2,2,1,2,4,1,2,1,4,3,1,3
5/2/16 16:58,2,6,2,1,2,4,5,3,3,2,4,2,2,2,4,6,2,6
5/2/16 19:45,1,4,1,1,2,3,5,4,1,6,5,1,4,1,3,7,4,2
5/2/16 20:56,1,2,2,6,6,6,6,6,1,1,1,1,6,7,7,2,6,6
5/2/16 21:03,1,2,1,1,1,1,1,2,1,4,5,1,3,1,4,3,1,1
5/2/16 21:57,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1
5/2/16 23:39,1,3,2,1,2,3,2,3,1,2,3,1,2,1,3,3,1,2
5/3/16 0:55,1,4,2,2,2,1,4,2,1,3,5,1,2,1,5,4,1,3
5/3/16 1:24,1,3,1,1,2,2,2,2,1,2,4,1,1,1,7,1,1,1
5/3/16 7:36,1,3,2,3,3,3,5,5,3,3,3,1,3,1,5,3,1,5
5/3/16 8:03,1,3,1,1,4,4,6,6,1,1,5,1,6,1,6,5,2,3
5/3/16 11:02,1,1,2,1,1,1,1,1,1,1,3,1,1,1,4,1,1,1
5/3/16 11:27,2,6,1,1,2,5,6,7,2,3,4,1,4,1,7,4,2,4
